SEARCH,YEARS,PATTRN,HASHfile
 EOF , 2008 , EOF ,/tmp/work/e/e06218d5918614afca94d80b42e082e2f064dca26a291909e2a5b819b58fe823
 EOF , , EOF ,/tmp/work/e/e533b87af7afe2b2f93539c1d85913262955747dff52e1d24dd9ac259819351d
 EOF , 2006 , EOF ,/tmp/work/e/e50117ab27dc449b25e304874b22beb6049c071dfb839c03f292ef1c069ef905
 EOF , 2017 , EOF ,/tmp/work/e/e30bc18a3a6523cbd67feea5fe4d885df14167d6c06300df2aa82785aa9ff24c
 EOF , 2019 , EOF ,/tmp/work/e/e0728f169b10434be0e586177d370df624f0841953bbcef728fd427f2791f967
 EOF , 2017 , EOF ,/tmp/work/e/e17b9a265c2c81727db690a78d6be54f7ebc262e79628846fb86c56a7f6efb32
 EOF , 2010 , EOF ,/tmp/work/e/e5dbfff150651e048945e705936f0350b967594f4ec24dab634dfbbdde2d667f
 EOF , 2018 , EOF ,/tmp/work/e/e3f642932ec867e6f8393cbbea2d42318435c38823a1e3291021a03c1555b068
 EOF , , EOF ,/tmp/work/e/ef7327c66d1d196720e4f806cf69c6bd0c6673e129ee76c140bab3074c4e6488
 EOF , 2018 , EOF ,/tmp/work/e/e1c485debffb3b7077e08766fd1e7d74f1270b7f27dabeef093ff89d9d019cc8
 EOF , 2010 , EOF ,/tmp/work/e/ebedf258399886f16642254a22b1734a72aab9f543e69fc0938b726f3d26e1ae
 EOF , 2011 , EOF ,/tmp/work/e/e0dc2774aa403ed9bcb486875840e53a04c40ed1b8d8c07ed0759c979b315bde
 EOF , 2008 , EOF ,/tmp/work/e/e9241af00ff01150f5deee1e14cbc4b87568b9166a524c2cdccb3cf115b3fd62
 EOF , 2016 , EOF ,/tmp/work/e/e4bb486e9ec95de9b0871f6b859f0dc82d8a3d00abab68185d3de55cc86e093c
 EOF , 2004 , EOF ,/tmp/work/e/e00c7e1459b5a0e79576f2877a9c536e39269eee2586d196e825f97c5ae010b2
 EOF , , EOF ,/tmp/work/e/eccd90f8a5b38fdf8be10072349ca51694af3dc08945b99de498d4734932d0bf
 EOF , 2011 , EOF ,/tmp/work/e/eacff4c4c09282c5af368347ddf03892ef58070c4f58a97b9ea6efde77a06d2c
 EOF , 2021 , EOF ,/tmp/work/e/ec8fd443fb089b6405f07fa87ee25c155a888b7fb6c7f35caa47ecdc493ca445
 EOF , , EOF ,/tmp/work/e/e04c8091e257f4622a4864ba59f40d9ee3ea8ae3a8dd40792db4baf4e7a776a2
 EOF , 2005 , EOF ,/tmp/work/e/ec4ca7c795cfcaaf6d8d3690b7ab81ce0349d01703e7d68e54d3b7003738affe
 EOF , 2006 , EOF ,/tmp/work/e/eaa3d2789919a82b6864c2fa65ab5fe2655f5f407da00233a0aec5768c6e6b4a
 EOF , 2004 , EOF ,/tmp/work/e/e3132812095825dc5f2d9f0722f2860ac378be9423df041b65e29769bc8b6538
 EOF , 2009 , EOF ,/tmp/work/e/e541f0c418b7ac38fa661aa620f108151a0fb0ef6a015eaf71dfc4fa3882d858
 EOF , , EOF ,/tmp/work/e/ea70a6fcba6fcb39305f7f107f112818b6b05d21bb99bf85ff7c2e82b0faf7e7
 EOF , 2004 , EOF ,/tmp/work/e/e55ddfd9c192757e53fef39b539070b8e34605b3d0a27897d55bccd8f6437ad7
 EOF , 2007 , EOF ,/tmp/work/e/e1531605c745fe7a354b94a972b7eb1071d402af7bd9c11216105debe46540b5
 EOF , 2006 , EOF ,/tmp/work/e/e7755138571afbf1786ae65aa3ed4d9e3e9e0434600a317f1ef435ad443d2cd4
 EOF , 2007 , EOF ,/tmp/work/e/e8f78e62f824d8b72a7d46ca0123c66c2686ab34182aa36715975a71ec157437
 EOF , 2004 , EOF ,/tmp/work/e/e173e29abe1db2e4fa9e140cd7729c9105c829337d8afb5a1e46ec4e18757494
 EOF , 2019 , EOF ,/tmp/work/f/fc3501779caf55a93e92932728ba3861de25bc62ac1cf62549ef7c4f8f29f4e2
 EOF , , EOF ,/tmp/work/f/fbee638d5c91b4f8f9208a71d3e347e7e31335a753d38c8086dc949a3adb8ed6
 EOF , 2004 , EOF ,/tmp/work/f/fa971585091d4465113dfbce41c67d105a2c9fb1b46694c943a5efcc1e0b4790
 EOF , 2005 , EOF ,/tmp/work/f/f7792afdf164495eb10a4c26d888b43c0a84d86f5c40a16afff2df79e990db6b
 EOF , 2010 , EOF ,/tmp/work/f/f5b461c585d9a01c07f1358dff749b3d5c30c7071e08b59ed8206dddbd1d6ba3
 EOF , 2003 , EOF ,/tmp/work/f/f5753dcc2c370fd8edfc50528097297506546647f3eb43d739fdaa2b2e57eee4
 EOF , 2015 , EOF ,/tmp/work/f/fea32ad93e552a5936d37969e9615d8449527f99c3fc13a6c5730e915aabcc43
 EOF , 2007 , EOF ,/tmp/work/f/f08608d322492cb45db5557181327dff46db056d8304acde5e395f21812d1d11
 EOF , 2021 , EOF ,/tmp/work/f/fc25ea167eea4989c7a44141c26cafa6bbde4626693c50445fc1cbcdab2cefda
 EOF , 2004 , EOF ,/tmp/work/f/feb27a7603d38f9bd559da2bed06c870f0187a31460497c742e87358de8439d7
 EOF , 2019 , EOF ,/tmp/work/f/fb6063d814f049553bc5ca055a440740b1a2ee10aeee12b59401699206ff03c5
 EOF , 2016 , EOF ,/tmp/work/f/ff3e2a6f661e94a5b1a5ffe2ffa316400044234e48576b3e591adedb232fa528
 EOF , 2006 , EOF ,/tmp/work/f/faaa2a37ac926d42fa8ea3d401efb8ed2b6994703231b9c8fc5d852d62b290b7
 EOF , , EOF ,/tmp/work/f/ff4d345ea4a65398a79c73283072d6467982571d40bd7908871169df0f8fd44d
 EOF , , EOF ,/tmp/work/f/fc85f61c527ddf7e8f05dc313b08a4e1aa1be8af210af34c181b5adb2c24cac3
 EOF , 2007 , EOF ,/tmp/work/f/f72e22685aea4cf1934d295ad3c69cafbf1c59e9a427a6901efe749148ceb131
 EOF , , EOF ,/tmp/work/f/fb90a0d109d19624cf4e6df30b3aef89741942ddbac0223df4fbadeea036fad5
 EOF , 2005 , EOF ,/tmp/work/f/f09a03add51a32bff54664efed7cfc23fdd4b61e0c81c1c7a4f7cc04fd60d6a8
 EOF , 2004 , EOF ,/tmp/work/f/f328e567c605c84b9afec641d6403ce5880959a7147b6daeafc7ff4044a432e5
 EOF , 2004 , EOF ,/tmp/work/f/f546b8a2004b7fb1900cb0a700a0f5dc23bf807f1bcb23f5a65a05146b723c57
 EOF , 2013 , EOF ,/tmp/work/f/fcff6112329286deea9a14d438c554a30c6ed06835f296f5150d4893fa90030a
 EOF , 2017 , EOF ,/tmp/work/f/f6b016d3188b1b49d9ba101c389641877ff8efc433b64c22ce4397beec69c52d
 EOF , 2017 , EOF ,/tmp/work/f/fa74ea93b1219660958721aedccc8955dc5f3445ff08b68630f409016b236c90
 EOF , 2004 , EOF ,/tmp/work/f/f34e39ef3ba57bc74bfd0aeb0d707e8e57f95ec301680fb39d6e4d818c0a2d21
 EOF , , EOF ,/tmp/work/f/ff2e2f66f4f108c506cef5c34a7e1b876fa9b161b8e66958c1465fd2c314f0c3
 EOF , 2013 , EOF ,/tmp/work/f/fc7815a7887ae574ade1c4c81c797ead7549bb89f646887c7edb5b19aefe0fec
 EOF , 2008 , EOF ,/tmp/work/f/f4811b0c7ac360722abede86c9a85e7301116ce5bc3979e28d08040abf93eeb4
 EOF , 2015 , EOF ,/tmp/work/f/fb9089333be137c181c72a8905ad2f23acb01065d453e34fc987c579a333ebc5
 EOF , 2013 , EOF ,/tmp/work/0/0420ca8fd5beede210edfb62f6c90204ee8d8155acbb85c0b33c34717d86810b
 EOF , 2004 , EOF ,/tmp/work/0/0f6f46162fef2042f8ab359a9997e285e00a0bdb0fdb62cf7c3af4907446a675
 EOF , 2009 , EOF ,/tmp/work/0/05e8c9bdaae647da9b4560cd1b9e8ddd74dd194580613c9f6e3394ab4c9cf25e
 EOF , 2005 , EOF ,/tmp/work/0/046d89c58af793cc4b52c16634821166324075b42e61a28f2174ae2c1fb84843
 EOF , , EOF ,/tmp/work/0/0f4766d97c0dcc678b60d41fe1116b294ad58656eb7cb0481cc0ff03675236e0
 EOF , 2004 , EOF ,/tmp/work/0/03ed186fe845aa541392f733b5265c37bee3188258b8f42c019bda20ffb672eb
 EOF , 2004 , EOF ,/tmp/work/0/0d6179bbfbf94ad3d888da230a3b46a6bfe219d703b9f00c88bacab70838be6a
 EOF , 2017 , EOF ,/tmp/work/0/076b091931529c98cf40cadd5f784c66d777b63143895e7cbcbc8c01f104c700
 EOF , 2016 , EOF ,/tmp/work/0/05eafb7828be3319126194f045bb513136e788dda9847abcf0b25667b77a2f7c
 EOF , 2016 , EOF ,/tmp/work/0/0b48b570d52052f2d4170ccbd2582e48ad760ed6048044ae8edc348d7cc19518
 EOF , 2004 , EOF ,/tmp/work/0/0a36dd5a29f91ab4043e5d0710e88d28d31b6dad7f7716cf31eb5a25b79c6cec
