SEARCH,YEARS,PATTRN,HASHfile
NaN, ,IsNaN|NaN,/tmp/work/0/0a856cd9b8886c1fb88e4df34f55baae8b321bec3f857c5b6bd45341b926b5a6
NaN, 2020 ,IsNaN|NaN,/tmp/work/0/0c08e8eb8f44cc97bf6d6bac66ef1e4906ea4d157f94c18343c513f8c28efdc4
NaN, ,IsNaN|NaN,/tmp/work/0/0c4d24e200d9084444b624e0a248571bfb44b2b3f7362f323502223cbf4b74b7
NaN, 2002 ,IsNaN|NaN,/tmp/work/0/09761412628cb5793ac99c5c65b4f66e233acd01b8c0d27762dcce66c7246617
NaN, 2009 ,IsNaN|NaN,/tmp/work/0/0b2ed9773815fc4ce526f65613eb62a48dc73107d22b2eff39ac4ab5b2bd1f27
NaN, 2017 ,IsNaN|NaN,/tmp/work/0/04eba3cd944363e8d2b5360dcbde1e1d4cd6760edfef98e8c1a9ed88e603c40a
NaN, 2014 ,IsNaN|NaN,/tmp/work/0/00711790e3cf4780ae988612ba934181825fbc955de2ed295f9c9dd53a4be711
NaN, ,IsNaN|NaN,/tmp/work/0/0958f600b0e766d3ecd649d68a919b58da696284070ca0d3e5deb60d4275650a
NaN, 2015 ,IsNaN|NaN,/tmp/work/0/0473b0189ad878b73d34d08919ddf174a65f825a9d218bb3de315ff8b2f2ba53
NaN, 2019 ,IsNaN|NaN,/tmp/work/0/08554aa900a2680195bfb6634a12093de33affdf49e24fe2359a7a3883b8ce40
NaN, 2021 ,IsNaN|NaN,/tmp/work/0/0c8d23f6f79846a561c65f5a40a08f9141b68f955be9ecf039f4ac620e3f9a12
NaN, 2019 ,IsNaN|NaN,/tmp/work/0/02ad41b80abddfcdc38919bbe6a53db26bf5324dd3d800e91c9259d361fbd4f1
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/0b1273661bfe1cb599906f0e84baf4d27602d592b63845df8489c3497cf546b1
NaN, ,IsNaN|NaN,/tmp/work/0/07f91e19be98710b2b36b07535537ad3864530020e6ed23f26dbb5ce0e9bd7af
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/0e57cee6cf92dcc7874690427c51ea686bb76ea52a2a1498a39b82189b343f10
NaN, ,IsNaN|NaN,/tmp/work/0/0d61daf42cb3edf7d692aec9efaf1584c1dbc04b668108359d18f5f44fc243ef
NaN, ,IsNaN|NaN,/tmp/work/0/067ce7e3eb03626be759458073045956ff67afdc2f68dc71065cb8e298dd2dc5
NaN, 2019 ,IsNaN|NaN,/tmp/work/0/077d721c3547c5425720823b3da1e7166062d3a50772d9294d8481aa30701955
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/0e9be47e40eca7a8f4b73303fdc26e652b1514ac876c527e8d482322bc4718d5
NaN, ,IsNaN|NaN,/tmp/work/0/0f3fada102f0e30f37aac857d729d0d7f08a967d7c42ee7c11c0e7c82350d09e
NaN, ,IsNaN|NaN,/tmp/work/0/04e86b7798793e4cef98ae5525f436e4d711dfe1cfaa3330fd6828aa5a4f519d
NaN, ,IsNaN|NaN,/tmp/work/0/0f44497169df05f1553e3756278be18750dce1b4e0367227288a87c7353cbd87
NaN, ,IsNaN|NaN,/tmp/work/0/0f50b546bbfe7baee47757c6b73d27410ba8d79f0acdb6a0167b8a26b3dbb4f2
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/0814f66c11782e0a28faccbbb23d609c0920fef7d8dfe772936a424434f01bf9
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/0559b5fd32ba00f322a324e0c22158ba450ab6ca959000d9551169a5c7081140
NaN, 2008 ,IsNaN|NaN,/tmp/work/0/01bfa88ce1ac4391692691f4f8486d332844eda03b382208b8bb0c8bf4712ff1
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/01e5bf17841dd64e0f1138036debc45bb02d7796c59b105fe2fff8a3dbddd361
NaN, 2008 ,IsNaN|NaN,/tmp/work/0/04b611149b692bdb964f3b60b4e56a9e1714dbe1b6edc34b2fba2d2a48a296f5
NaN, 2021 ,IsNaN|NaN,/tmp/work/0/047c49e3bbbffea7a704163aedc58e46f042ffc3ffbb3a09f6e34e998a3cfea8
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/0fe858ea0edd42e46231652722501d985c40d0cb2937807ce1d4594c00432b10
NaN, ,IsNaN|NaN,/tmp/work/0/0525f17df6f44bb5341de58f12196d4022220dd004361582c1a30cc080b4b254
NaN, 2015 ,IsNaN|NaN,/tmp/work/0/04b258c0c29ef079067d6d507e0d1b24e11b7ed64b354a86e9e8ac1c5973da7e
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/001cfb9577e6b0735178dc1289f9ca9490c08213c3b61c56b493520907c73354
NaN, 2007 ,IsNaN|NaN,/tmp/work/0/06cd6b88ca0f9aab431c83ac7ec7b3347213b639a7639ab5eddb98534111d1c3
NaN, 2019 ,IsNaN|NaN,/tmp/work/0/00f6754908ce46a0b8f3b4eaa35a84ceb3943edd9a42b4535d5baa32a3a58b55
NaN, 2013 ,IsNaN|NaN,/tmp/work/0/053fa3077cd806c12ea775233b0ab6c971626a81cbfca23fbc3a2ab63e7f1476
NaN, 2009 ,IsNaN|NaN,/tmp/work/0/095527398374f3f053a3ea3cf9a09186d80df7092409a52640000484a6fa4f19
NaN, ,IsNaN|NaN,/tmp/work/0/0f7a74a504a98a7414a9d3627d17f6438c8281ed5957391f65451cd6037ba829
NaN, ,IsNaN|NaN,/tmp/work/0/087667716c74e5e419dc75881dda6edc04d5fc39989a244638455173f635b90e
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/09a0b3a358e16b29162d26015b2dcd0081da100e744e5122d2826ed20360095e
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/04daca713ad05100b9147be8d74b9388f3be6ef60c772a2fb9483af4c1d5975c
NaN, 2020 ,IsNaN|NaN,/tmp/work/0/0aa9854aa789faed5ba9097092b3096a4b759cf29bdbc4b94d3b95573acbc87c
NaN, 2009 ,IsNaN|NaN,/tmp/work/0/01dd25202f6751443268b73c89d54993bf2c7d54c293d0a8312ddb25f71b0d48
NaN, 2012 ,IsNaN|NaN,/tmp/work/0/0f6939882b9a0a40231f2ecd626ace5d9febc10c3a5c29a159b1180f57fc9d65
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/0af7a47d8f2c8a11cb273d8e0e936ae754d5ebc55d87a7129642e6eac9cec127
NaN, 2004 ,IsNaN|NaN,/tmp/work/0/0266f6869f1353a3363a532fc450dffc9ab97ba522d0333375ad3ed41009b74a
NaN, 2018 ,IsNaN|NaN,/tmp/work/0/0ad2180c5158bcabf244b006b30a16e5dbec962200c25511f7a407ec668bc6fc
